dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,2,3,0.6666666666666666
1,2,1,2.0
2,3,1,3.0
5,3,2,1.5
6,2,1,2.0
8,2,1,2.0
9,1,1,1.0
13,3,2,1.5
14,2,2,1.0
16,2,1,2.0
17,2,3,0.6666666666666666
20,2,2,1.0
22,1,2,0.5
23,2,3,0.6666666666666666
24,2,2,1.0
25,1,4,0.25
26,2,3,0.6666666666666666
27,3,3,1.0
28,3,4,0.75
29,2,2,1.0
30,1,3,0.3333333333333333
31,1,2,0.5
32,2,4,0.5
33,2,2,1.0
35,3,1,3.0
36,1,1,1.0
39,2,4,0.5
40,2,1,2.0
42,2,2,1.0
43,2,3,0.6666666666666666
44,2,4,0.5
45,2,1,2.0
46,2,1,2.0
47,3,2,1.5
48,2,2,1.0
51,2,2,1.0
53,2,2,1.0
54,2,2,1.0
55,3,4,0.75
56,2,1,2.0
57,2,1,2.0
59,2,4,0.5
60,2,2,1.0
61,2,3,0.6666666666666666
62,2,2,1.0
63,1,1,1.0
64,3,1,3.0
65,2,2,1.0
66,2,4,0.5
69,2,2,1.0
70,2,1,2.0
71,2,3,0.6666666666666666
72,2,3,0.6666666666666666
73,1,1,1.0
74,2,2,1.0
75,2,2,1.0
76,3,1,3.0
77,2,3,0.6666666666666666
78,3,2,1.5
79,3,3,1.0
80,2,3,0.6666666666666666
81,2,2,1.0
82,2,3,0.6666666666666666
83,2,1,2.0
84,1,2,0.5
85,4,4,1.0
86,3,3,1.0
87,1,2,0.5
88,2,1,2.0
89,3,1,3.0
90,2,3,0.6666666666666666
91,2,4,0.5
92,2,3,0.6666666666666666
93,3,3,1.0
94,2,2,1.0
95,3,3,1.0
96,2,3,0.6666666666666666
97,3,1,3.0
98,2,2,1.0
99,2,2,1.0
100,1,2,0.5
101,2,2,1.0
102,3,1,3.0
103,2,1,2.0
104,2,1,2.0
105,1,1,1.0
106,2,1,2.0
107,2,1,2.0
108,3,3,1.0
109,2,4,0.5
110,2,2,1.0
112,2,1,2.0
113,2,3,0.6666666666666666
114,2,2,1.0
115,3,4,0.75
116,3,3,1.0
117,1,1,1.0
118,2,1,2.0
119,2,1,2.0
120,2,1,2.0
121,3,2,1.5
122,2,1,2.0
123,2,4,0.5
124,1,2,0.5
125,2,2,1.0
126,2,2,1.0
127,3,3,1.0
128,2,1,2.0
129,3,1,3.0
130,2,2,1.0
132,3,1,3.0
133,2,3,0.6666666666666666
134,3,3,1.0
135,2,3,0.6666666666666666
136,3,2,1.5
137,3,1,3.0
140,1,1,1.0
143,2,1,2.0
145,2,1,2.0
146,2,1,2.0
147,2,4,0.5
148,2,2,1.0
149,2,2,1.0
150,2,1,2.0
151,2,1,2.0
152,1,2,0.5
153,2,2,1.0
154,2,2,1.0
155,2,4,0.5
156,2,3,0.6666666666666666
157,2,2,1.0
158,2,1,2.0
159,2,1,2.0
160,2,3,0.6666666666666666
161,2,2,1.0
162,2,3,0.6666666666666666
163,2,3,0.6666666666666666
164,3,3,1.0
165,2,1,2.0
168,2,3,0.6666666666666666
169,2,1,2.0
170,3,4,0.75
171,3,1,3.0
172,2,1,2.0
173,1,3,0.3333333333333333
176,2,3,0.6666666666666666
177,2,1,2.0
178,2,4,0.5
179,1,2,0.5
180,2,2,1.0
181,2,3,0.6666666666666666
182,2,4,0.5
183,2,3,0.6666666666666666
184,3,2,1.5
185,1,1,1.0
186,2,4,0.5
187,2,2,1.0
188,2,3,0.6666666666666666
189,2,4,0.5
190,2,3,0.6666666666666666
191,2,3,0.6666666666666666
192,1,3,0.3333333333333333
193,2,3,0.6666666666666666
194,2,2,1.0
195,2,4,0.5
196,2,4,0.5
197,2,4,0.5
198,2,4,0.5
199,2,4,0.5
200,2,3,0.6666666666666666
201,2,3,0.6666666666666666
202,2,1,2.0
203,3,3,1.0
204,2,2,1.0
205,2,3,0.6666666666666666
206,2,4,0.5
207,2,2,1.0
208,2,3,0.6666666666666666
209,3,3,1.0
210,2,4,0.5
211,2,1,2.0
212,1,3,0.3333333333333333
213,2,2,1.0
215,2,3,0.6666666666666666
217,2,2,1.0
218,3,2,1.5
219,2,2,1.0
220,2,3,0.6666666666666666
221,3,4,0.75
222,2,3,0.6666666666666666
223,2,2,1.0
224,2,5,0.4
225,2,3,0.6666666666666666
226,3,2,1.5
227,2,2,1.0
228,2,3,0.6666666666666666
229,2,3,0.6666666666666666
230,2,1,2.0
231,2,2,1.0
232,3,5,0.6
233,3,3,1.0
234,3,3,1.0
235,2,3,0.6666666666666666
236,2,4,0.5
237,2,2,1.0
238,2,3,0.6666666666666666
239,2,5,0.4
240,3,3,1.0
241,2,1,2.0
242,1,1,1.0
243,2,3,0.6666666666666666
244,2,2,1.0
245,3,1,3.0
246,2,3,0.6666666666666666
247,2,3,0.6666666666666666
248,3,2,1.5
250,2,1,2.0
251,3,1,3.0
252,3,2,1.5
253,2,1,2.0
254,3,5,0.6
255,2,3,0.6666666666666666
256,2,2,1.0
257,2,1,2.0
258,1,2,0.5
260,2,2,1.0
261,2,3,0.6666666666666666
262,2,5,0.4
264,2,1,2.0
265,3,1,3.0
266,2,1,2.0
267,2,2,1.0
268,2,2,1.0
270,2,2,1.0
271,2,2,1.0
272,1,4,0.25
273,3,1,3.0
274,1,1,1.0
275,3,3,1.0
276,2,3,0.6666666666666666
277,3,1,3.0
278,3,1,3.0
279,3,2,1.5
280,3,1,3.0
281,2,3,0.6666666666666666
282,3,1,3.0
283,2,3,0.6666666666666666
285,2,3,0.6666666666666666
287,2,1,2.0
288,2,1,2.0
290,3,1,3.0
