dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,2,3,0.6666666666666666
1,2,1,2.0
2,2,1,2.0
5,2,2,1.0
6,2,1,2.0
8,2,1,2.0
9,1,1,1.0
13,3,2,1.5
14,1,2,0.5
16,3,1,3.0
17,2,3,0.6666666666666666
20,2,2,1.0
22,2,2,1.0
23,2,3,0.6666666666666666
24,2,2,1.0
25,2,4,0.5
26,2,3,0.6666666666666666
27,3,3,1.0
28,3,4,0.75
29,3,2,1.5
30,2,3,0.6666666666666666
31,2,2,1.0
32,3,4,0.75
33,2,2,1.0
35,3,1,3.0
36,2,1,2.0
39,2,4,0.5
40,2,1,2.0
42,2,2,1.0
43,2,3,0.6666666666666666
44,3,4,0.75
45,2,1,2.0
46,2,1,2.0
47,3,2,1.5
48,2,2,1.0
51,2,2,1.0
53,3,2,1.5
54,2,2,1.0
55,1,4,0.25
56,2,1,2.0
57,1,1,1.0
59,3,4,0.75
60,2,2,1.0
61,3,3,1.0
62,2,2,1.0
63,2,1,2.0
64,2,1,2.0
65,2,2,1.0
66,3,4,0.75
69,2,2,1.0
70,2,1,2.0
71,2,3,0.6666666666666666
72,3,3,1.0
73,2,1,2.0
74,2,2,1.0
75,2,2,1.0
76,3,1,3.0
77,2,3,0.6666666666666666
78,2,2,1.0
79,3,3,1.0
80,2,3,0.6666666666666666
81,2,2,1.0
82,2,3,0.6666666666666666
83,2,1,2.0
84,1,2,0.5
85,3,4,0.75
86,2,3,0.6666666666666666
87,2,2,1.0
88,2,1,2.0
89,3,1,3.0
90,3,3,1.0
91,1,4,0.25
92,2,3,0.6666666666666666
93,3,3,1.0
94,2,2,1.0
95,3,3,1.0
96,2,3,0.6666666666666666
97,1,1,1.0
98,3,2,1.5
99,1,2,0.5
100,1,2,0.5
101,3,2,1.5
102,3,1,3.0
103,1,1,1.0
104,2,1,2.0
105,1,1,1.0
106,2,1,2.0
107,2,1,2.0
108,2,3,0.6666666666666666
109,3,4,0.75
110,2,2,1.0
112,1,1,1.0
113,2,3,0.6666666666666666
114,2,2,1.0
115,3,4,0.75
116,3,3,1.0
117,2,1,2.0
118,1,1,1.0
119,2,1,2.0
120,2,1,2.0
121,3,2,1.5
122,3,1,3.0
123,3,4,0.75
124,1,2,0.5
125,2,2,1.0
126,2,2,1.0
127,2,3,0.6666666666666666
128,3,1,3.0
129,2,1,2.0
130,2,2,1.0
132,3,1,3.0
133,2,3,0.6666666666666666
134,3,3,1.0
135,2,3,0.6666666666666666
136,2,2,1.0
137,3,1,3.0
140,2,1,2.0
143,2,1,2.0
145,2,1,2.0
146,2,1,2.0
147,2,4,0.5
148,2,2,1.0
149,2,2,1.0
150,1,1,1.0
151,3,1,3.0
152,2,2,1.0
153,2,2,1.0
154,2,2,1.0
155,3,4,0.75
156,2,3,0.6666666666666666
157,2,2,1.0
158,2,1,2.0
159,2,1,2.0
160,2,3,0.6666666666666666
161,2,2,1.0
162,2,3,0.6666666666666666
163,2,3,0.6666666666666666
164,2,3,0.6666666666666666
165,2,1,2.0
168,2,3,0.6666666666666666
169,2,1,2.0
170,2,4,0.5
171,3,1,3.0
172,2,1,2.0
173,2,3,0.6666666666666666
176,2,3,0.6666666666666666
177,2,1,2.0
178,2,4,0.5
179,2,2,1.0
180,2,2,1.0
181,2,3,0.6666666666666666
182,2,4,0.5
183,2,3,0.6666666666666666
184,2,2,1.0
185,1,1,1.0
186,2,4,0.5
187,3,2,1.5
188,2,3,0.6666666666666666
189,2,4,0.5
190,2,3,0.6666666666666666
191,2,3,0.6666666666666666
192,2,3,0.6666666666666666
193,2,3,0.6666666666666666
194,2,2,1.0
195,3,4,0.75
196,2,4,0.5
197,2,4,0.5
198,1,4,0.25
199,1,4,0.25
200,2,3,0.6666666666666666
201,2,3,0.6666666666666666
202,2,1,2.0
203,2,3,0.6666666666666666
204,1,2,0.5
205,2,3,0.6666666666666666
206,2,4,0.5
207,1,2,0.5
208,2,3,0.6666666666666666
209,2,3,0.6666666666666666
210,2,4,0.5
211,2,1,2.0
212,1,3,0.3333333333333333
213,3,2,1.5
215,2,3,0.6666666666666666
217,2,2,1.0
218,2,2,1.0
219,2,2,1.0
220,3,3,1.0
221,2,4,0.5
222,2,3,0.6666666666666666
223,2,2,1.0
224,2,5,0.4
225,2,3,0.6666666666666666
226,3,2,1.5
227,2,2,1.0
228,2,3,0.6666666666666666
229,2,3,0.6666666666666666
230,2,1,2.0
231,2,2,1.0
232,3,5,0.6
233,2,3,0.6666666666666666
234,2,3,0.6666666666666666
235,3,3,1.0
236,3,4,0.75
237,2,2,1.0
238,3,3,1.0
239,2,5,0.4
240,2,3,0.6666666666666666
241,2,1,2.0
242,1,1,1.0
243,1,3,0.3333333333333333
244,2,2,1.0
245,2,1,2.0
246,3,3,1.0
247,2,3,0.6666666666666666
248,3,2,1.5
250,1,1,1.0
251,2,1,2.0
252,3,2,1.5
253,2,1,2.0
254,2,5,0.4
255,2,3,0.6666666666666666
256,2,2,1.0
257,2,1,2.0
258,2,2,1.0
260,2,2,1.0
261,2,3,0.6666666666666666
262,2,5,0.4
264,2,1,2.0
265,2,1,2.0
266,2,1,2.0
267,2,2,1.0
268,2,2,1.0
270,2,2,1.0
271,2,2,1.0
272,2,4,0.5
273,3,1,3.0
274,2,1,2.0
275,3,3,1.0
276,2,3,0.6666666666666666
277,3,1,3.0
278,3,1,3.0
279,2,2,1.0
280,3,1,3.0
281,3,3,1.0
282,3,1,3.0
283,2,3,0.6666666666666666
285,3,3,1.0
287,3,1,3.0
288,2,1,2.0
290,2,1,2.0
